Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,WX 1,162.550000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
1,WX 2,162.400000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
2,WX 3,162.475000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
3,WX 4,162.425000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
4,WX 5,162.450000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
5,WX 6,162.500000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
6,WX 7,162.525000,off,0.000000,,67.0,67.0,023,NN,FM,5.00,,,,,,
7,MURS 1,151.820000,,0.000000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
8,MURS 2,151.880000,,0.000000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
9,MURS 3,151.940000,,0.000000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
10,MURS 4,154.570000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
11,MURS 5,154.600000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
12,FRS 01,462.562500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
13,FRS 1,462.562500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
14,FRS 2,462.587500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
15,FRS 3,462.612500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
16,FRS 4,462.637500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
17,FRS 5,462.662500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
18,FRS 6,462.687500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
19,FRS 7,462.712500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
20,FRS 8,467.562500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
21,FRS 9,467.587500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
22,FRS 10,467.612500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
23,FRS 11,467.637500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
24,FRS 12,467.662500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
25,FRS 13,467.687500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
26,FRS 14,467.712500,,0.000000,Tone,67.0,67.0,023,NN,NFM,12.50,,,,,,
27,GMRS15,462.550000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
28,GMRS16,462.575000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
29,GMRS17,462.600000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
30,GMRS18,462.625000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
31,GMRS19,462.650000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
32,GMRS20,462.675000,,0.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
33,GMRS21,462.700000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
34,GMRS22,462.725000,,0.000000,Tone,67.0,67.0,023,NN,FM,25.00,,,,,,
35,GMR15R,462.550000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
36,GMR16R,462.575000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
37,GMR17R,462.600000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
38,GMR18R,462.625000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
39,GMR19R,462.650000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
40,GMR20R,462.675000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
41,GMR21R,462.700000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
42,GMR22R,462.725000,+,5.000000,Tone,141.3,141.3,023,NN,FM,25.00,,,,,,
43,BUSRED,151.625000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
44,BUSPUR,151.955000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
90,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,HAM52,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,HAM42,146.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,HAM55,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,UHAM,446.000000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,KD5DLW,443.450000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
96,W5BCS,146.680000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
97,W5AC,146.820000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
98,SGBRZS,443.475000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
99,HAM490,146.490000,,0.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
