Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS	DCS	Comment
1	146.82	146.220000	0.6	Minus	FM		W5AC	Tone	88.5	0	
2	146.62	146.020000	0.6	Minus	FM		kz5m	Tone	88.5	0	
3	443.325	448.325000	5	Plus	FM		W5AC	Tone	110.9	0	
4	443.05	448.050000	5	Plus	FM		W5AC	Tone	88.5	0	
5	444.55	449.550000	5	Plus	FM		N1WP	Tone	127.3	0	
6	146.68	146.080000	0.6	Minus	FM		W5BCS	Tone	88.5	0	
7	147.12	147.720000	0.6	Plus	FM		NQ5D	Tone	123	0	
8	444	449.000000	5	Plus	FM		w5pyt	Tone	103.5	0	
9	443.45	448.450000	5	Plus	FM		KD5DLW	Tone	127.3	0	
10	444.2	449.200000	5	Plus	FM		KC5HHN	Tone	127.3	0	
11	443.4	448.400000	5	Plus	FM		W5DZ	Tone	162.2	0	
12	147.22	147.820000	0.6	Plus	FM		N5MZQ	Tone	114.8	0	Lee Co. Tx. ARES Repeater
13	147.1	147.700000	0.6	Plus	FM		W5HBH	Tone	88.5	0	
14	146.96	140.960000	6	Minus	FM		W5KVN	Tone	85.4	0	Link to W5UOK 147.280 (123.0) & W5ZMI 145.390 (123.)
15	147.02	147.620000	0.6	Plus	FM	MILAM COUNTY ARES	KE5LVI	Tone	123	0	ARES, SKYWARN
16	145.39	144.790000	0.6	Minus	FM	NFLARC	WB5YFX	Tone	146.2	0	Link to W5UOK 147.280 (146.2) & W5KVN 146.960 (85.4) & KD5OXM 145.290 (146.2)
17	146.98	146.380000	0.6	Minus	FM		W5ZDN	None	0	0	
18	147.14	147.740000	0.6	Plus	FM		W5BEC	Tone	123	0	Bell County EOC KCEN-TV tower in Belton, TX (Bell County) >100 mile radius coverage
19	145.15	144.550000	0.6	Minus	FM		W5ZDN	None	0	0	
20	442.3	447.300000	5	Plus	FM		W5NCD	None	0	0	
21	147.24	147.840000	0.6	Plus	FM		W5NCD	Tone	97.4	0	
22	145.31	144.710000	0.6	Minus	FM		N5ZXJ	Tone	123	0	N5ZXJ Moody, TX 2m ARES, SKYWARN, ECHOLINK #1947, WIDE AREA REPEATER.   www.n5zxj.us
23	147.14	147.740000	0.6	Plus	FM	Bell County EOC	W5BEC	Tone	123	0	W5BEC-WIDE AREA RPTR, ARES, SKYWARN, ECHOLINK, PL123.0Hz  W5VEX trustee    www.n5zxj.us
24	444.15	449.150000	5	Plus	FM		AA5RT	Tone	123	0	
25	444.675	449.675000	5	Plus	FM		KC5AEL	None	0	0	
26	444.725	449.725000	5	Plus	FM		AA5RT	Tone	123	0	
27	442.45	447.450000	5	Plus	FM		WA5BU	None	0	0	
28	146.66	146.060000	0.6	Minus	FM		AA5RT	Tone	123	0	
29	146.88	146.280000	0.6	Minus	FM		W5ZDN	None	0	0	
30	442.875	447.875000	5	Plus	FM		W5ZDN	Tone	123	0	
31	147.16	147.760000	0.6	Plus	FM		WA5BU	None	0	0	
32	147.32	147.920000	0.6	Plus	FM		W5TSG	Tone	123.3	0	
33	147.36	147.960000	0.6	Plus	FM		AA5RT	Tone	123	0	
34	145.725	146.325000	0.6	Plus	FM		AE6GN	Tone	88.5	0	
35	146.62	146.020000	0.6	Minus	FM		NZ5T	Tone	123	0	
36	442.2	447.200000	5	Plus	FM		W5WK	Tone	103.5	0	
37	146.62	146.020000	0.6	Minus	FM	NZ5T	Wq5B	Tone	123	0	
38	443.275	448.275000	5	Plus	FM		WB5YFX	Tone	123	0	
39	146.78	146.180000	0.6	Minus	FM		WM5L	None	0	0	
40	145.29	144.690000	0.6	Minus	FM	NFLARC	KD5OXM	Tone	146.2	146.2	http://nflarc.org
41	147.08	147.680000	0.6	Plus	FM		n5swp	Tone	123	0	testing coverage
42	443.775	448.775000	5	Plus	FM		WS5J	Tone	110.9	0	
43	145.41	144.810000	0.6	Minus	FM		WD5DDH	Tone	162.2	0	Very wide coverage since moved to Midlothian
44	444.2	449.200000	5	Plus	FM	K5SLD	K5SLD	Tone	100	0	
45	443.225	448.225000	5	Plus	FM		WD5GIC	Tone	88.5	0	
46	147.22	147.820000	0.6	Plus	FM		K5AEC	Tone	110.9	0	
47	442.325	447.325000	5	Plus	FM	-	KM5R	None	0	0	This repeater is also hooked up to Echolink and has great coverage in the DFW area.
48	443.5	448.500000	5	Plus	FM	-	AI5TX	None	0	0	Closed Repeater
49	147.06	147.660000	0.6	Plus	FM		W5AUY	None	0	0	
50	147.26	147.860000	0.6	Plus	FM		W5AHN	None	0	0	
51	145.26	144.660000	0.6	Minus	FM		K5RNB	Tone	100	0	THIS IS A REMOTE RECEIVER. YAGI ANTENNA MAIN LOBE 353 DEGREES TRUE. Coverage maps located at www.k5rnb.com.
52	444	449.000000	5	Plus	FM	JCARA	KY5O	Tone	136.5	0	New repeater on frequency no longer used in Burleson. Active on EchoLink. Node # 100032
53	145.49	144.890000	0.6	Minus	FM		KC5PGV	Tone	88.5	0	
54	443.125	448.125000	5	Plus	FM		KC5PWQ	Tone	110.9	0	
55	443.75	448.750000	5	Plus	FM		N5VZE	None	0	0	
56	444.125	449.125000	5	Plus	FM		KC5PWS	Tone	88.5	0	
57	146	146.000000	0		FM		AB5XD	None	0		
58	441.525	446.525000	5	Plus	FM		AB5XD	Tone	110.9	0	
59	145.25	144.650000	0.6	Minus	FM		AB5XD	None	0	0	
60	146.84	146.240000	0.6	Minus	FM		W5SH	Tone	110.9	0	
61	443.9	448.900000	5	Plus	FM		K5RHV	Tone	100	0	
62	443.2	448.200000	5	Plus	FM		KA5HND	None	0	0	
63	146.94	146.340000	0.6	Minus	FM		K5FTW	Tone	110.9	0	
64	146.76	146.160000	0.6	Minus	FM		K5FTW	Tone	110.9	0	
65	444.1	449.100000	5	Plus	FM		K5FTW	Tone	110.9	0	
66	444.525	449.525000	5	Plus	FM		WB5JHR	Tone	110.9	0	
67	441.675	446.675000	5	Plus	FM		K5AMM	None	0	0	
68	442.125	447.125000	5	Plus	FM		KA5PQK 	Tone	156.7	0	
69	442.2	447.200000	5	Plus	FM		W5SJZ	None	0	0	
70	442.225	447.225000	5	Plus	FM		KM5R	None	0	0	
71	442.375	447.375000	5	Plus	FM		N5AUX	Tone	100	0	
72	442.975	447.975000	5	Plus	FM		W5DFW	Tone	110.9	0	
73	443.05	448.050000	5	Plus	FM		WD5GIC	Tone	88.5	0	
74	443.15	448.150000	5	Plus	FM		N5PMB	Tone	110.9	0	
75	444.3	449.300000	5	Plus	FM		K5MOT	Tone	110.9	0	
