Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,URCALL,RPT1CALL,RPT2CALL,Comment
1,"W5AC",146.820000,"-",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"W5AC","",""
2,"kz5m",146.620000,"-",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"kz5m","",""
3,"W5AC",443.325000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"W5AC","",""
4,"W5AC",443.050000,"+",5.000000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"W5AC","",""
5,"N1WP",444.550000,"+",5.000000,"Tone",127.3,127.3,023,"NN","FM",2.5,,,"N1WP","",""
6,"W5BCS",146.680000,"-",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"W5BCS","",""
7,"NQ5D",147.120000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"NQ5D","",""
8,"w5pyt",444.000000,"+",5.000000,"Tone",103.5,103.5,023,"NN","FM",2.5,,,"w5pyt","",""
9,"KD5DLW",443.450000,"+",5.000000,"Tone",127.3,127.3,023,"NN","FM",2.5,,,"KD5DLW","",""
10,"KC5HHN",444.200000,"+",5.000000,"Tone",127.3,127.3,023,"NN","FM",2.5,,,"KC5HHN","",""
11,"W5DZ",443.400000,"+",5.000000,"Tone",162.2,162.2,023,"NN","FM",2.5,,,"W5DZ","",""
12,"N5MZQ",147.220000,"+",0.600000,"Tone",114.8,114.8,023,"NN","FM",2.5,,,"N5MZQ","N5MZQ/R","Lee Co. Tx. ARES Repeater"
13,"W5HBH",147.100000,"+",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"W5HBH","",""
14,"W5KVN",146.960000,"-",6.000000,"Tone",85.4,85.4,023,"NN","FM",2.5,,,"W5KVN","W5KVN/R","Link to W5UOK 147.280 (123.0) & W5ZMI 145.390 (123.)"
15,"KE5LVI",147.020000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"KE5LVI","KE5URD","ARES, SKYWARN"
16,"WB5YFX",145.390000,"-",0.600000,"Tone",146.2,146.2,023,"NN","FM",2.5,,,"WB5YFX","","Link to W5UOK 147.280 (146.2) & W5KVN 146.960 (85.4) & KD5OXM 145.290 (146.2)"
17,"W5ZDN",146.980000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5ZDN","",""
18,"W5BEC",147.140000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"W5BEC","W5BEC","KCEN-TV tower in Belton, TX (Bell County) >100 mile radius coverage"
19,"W5ZDN",145.150000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5ZDN","",""
20,"W5NCD",442.300000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5NCD","",""
21,"W5NCD",147.240000,"+",0.600000,"Tone",97.4,97.4,023,"NN","FM",2.5,,,"W5NCD","",""
22,"N5ZXJ",145.310000,"-",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"N5ZXJ","N5ZXJ","N5ZXJ Moody, TX 2m ARES, SKYWARN, ECHOLINK #1947, WIDE AREA REPEATER.   www.n5zxj.us"
23,"W5BEC",147.140000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"W5BEC","W5BEC ","W5BEC-WIDE AREA RPTR, ARES, SKYWARN, ECHOLINK, PL123.0Hz  W5VEX trustee    www.n5zxj.us"
24,"AA5RT",444.150000,"+",5.000000,"Tone",123,123,023,"NN","FM",2.5,,,"AA5RT","",""
25,"KC5AEL",444.675000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KC5AEL","",""
26,"AA5RT",444.725000,"+",5.000000,"Tone",123,123,023,"NN","FM",2.5,,,"AA5RT","",""
27,"WA5BU",442.450000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"WA5BU","",""
28,"AA5RT",146.660000,"-",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"AA5RT","",""
29,"W5ZDN",146.880000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5ZDN","",""
30,"W5ZDN",442.875000,"+",5.000000,"Tone",123,123,023,"NN","FM",2.5,,,"W5ZDN","",""
31,"WA5BU",147.160000,"+",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"WA5BU","",""
32,"W5TSG",147.320000,"+",0.600000,"Tone",123.3,123.3,023,"NN","FM",2.5,,,"W5TSG","",""
33,"AA5RT",147.360000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"AA5RT","",""
34,"AE6GN",145.725000,"+",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"AE6GN","",""
35,"NZ5T",146.620000,"-",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"NZ5T","",""
36,"W5WK",442.200000,"+",5.000000,"Tone",103.5,103.5,023,"NN","FM",2.5,,,"W5WK","",""
37,"Wq5B",146.620000,"-",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"Wq5B","",""
38,"WB5YFX",443.275000,"+",5.000000,"Tone",123,123,023,"NN","FM",2.5,,,"WB5YFX","",""
39,"WM5L",146.780000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"WM5L","",""
40,"KD5OXM",145.290000,"-",0.600000,"Tone",146.2,146.2,023,"NN","FM",2.5,,,"KD5OXM","","http://nflarc.org"
41,"n5swp",147.080000,"+",0.600000,"Tone",123,123,023,"NN","FM",2.5,,,"n5swp","n5swp",""
42,"WS5J",443.775000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"WS5J","",""
43,"WD5DDH",145.410000,"-",0.600000,"Tone",162.2,162.2,023,"NN","FM",2.5,,,"WD5DDH","","Very wide coverage since moved to Midlothian"
44,"K5SLD",444.200000,"+",5.000000,"Tone",100,100,023,"NN","FM",2.5,,,"K5SLD","",""
45,"WD5GIC",443.225000,"+",5.000000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"WD5GIC","",""
46,"K5AEC",147.220000,"+",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5AEC","",""
47,"KM5R",442.325000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KM5R","","This repeater is also hooked up to Echolink and has great coverage in the DFW area."
48,"AI5TX",443.500000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"AI5TX","","Closed Repeater"
49,"W5AUY",147.060000,"+",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5AUY","",""
50,"W5AHN",147.260000,"+",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5AHN","",""
51,"K5RNB",145.260000,"-",0.600000,"Tone",100,100,023,"NN","FM",2.5,,,"K5RNB","","THIS IS A REMOTE RECEIVER. YAGI ANTENNA MAIN LOBE 353 DEGREES TRUE. Coverage maps located at www.k5rnb.com."
52,"KY5O",444.000000,"+",5.000000,"Tone",136.5,136.5,023,"NN","FM",2.5,,,"KY5O","","New repeater on frequency no longer used in Burleson. Active on EchoLink. Node # 100032"
53,"KC5PGV",145.490000,"-",0.600000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"KC5PGV","",""
54,"KC5PWQ",443.125000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"KC5PWQ","",""
55,"N5VZE",443.750000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"N5VZE","",""
56,"KC5PWS",444.125000,"+",5.000000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"KC5PWS","",""
57,"AB5XD",146.000000,"",0.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"AB5XD","",""
58,"AB5XD",441.525000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"AB5XD","",""
59,"AB5XD",145.250000,"-",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"AB5XD","",""
60,"W5SH",146.840000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"W5SH","",""
61,"K5RHV",443.900000,"+",5.000000,"Tone",100,100,023,"NN","FM",2.5,,,"K5RHV","",""
62,"KA5HND",443.200000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KA5HND","",""
63,"K5FTW",146.940000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5FTW","",""
64,"K5FTW",146.760000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5FTW","",""
65,"K5FTW",444.100000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5FTW","",""
66,"WB5JHR",444.525000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"WB5JHR","",""
67,"K5AMM",441.675000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"K5AMM","",""
68,"KA5PQK ",442.125000,"+",5.000000,"Tone",156.7,156.7,023,"NN","FM",2.5,,,"KA5PQK ","",""
69,"W5SJZ",442.200000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5SJZ","",""
70,"KM5R",442.225000,"+",5.000000,"",88.5,88.5,023,"NN","FM",2.5,,,"KM5R","",""
71,"N5AUX",442.375000,"+",5.000000,"Tone",100,100,023,"NN","FM",2.5,,,"N5AUX","",""
72,"W5DFW",442.975000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"W5DFW","",""
73,"WD5GIC",443.050000,"+",5.000000,"Tone",88.5,88.5,023,"NN","FM",2.5,,,"WD5GIC","",""
74,"N5PMB",443.150000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"N5PMB","",""
75,"K5MOT",444.300000,"+",5.000000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5MOT","",""
76,"W5URH",146.800000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"W5URH","",""
77,"W5URH",146.680000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"W5URH","",""
78,"KD5HOG",145.250000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"KD5HOG","",""
79,"K5FTW",145.110000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"K5FTW","",""
80,"KA5GFH",442.125000,"+",447.125000,"Tone",156.7,156.7,023,"NN","FM",2.5,,,"KA5GFH","KAFGFH / KA5PQK",""
81,"W5SJZ",147.280000,"+",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"W5SJZ","",""
82,"K5SLD",147.140000,"+",0.600000,"",88.5,88.5,023,"NN","FM",2.5,,,"K5SLD","",""
83,"WD5DBB",146.860000,"-",0.600000,"Tone",110.9,110.9,023,"NN","FM",2.5,,,"WD5DBB","WD5DBB",""
